8287,USP9Y,O00507
71241,Dmrtc2,Q8CGW9
2592,GALT,P07902
1768,DNAH6,Q9C0G6
254528,MEIOB,Q8N635
255101,CFAP65,Q6ZU64
286151,FBXO43,Q4G163
65267,WNK3,Q9BYP7
147872,CCDC155,Q8N6L0
83449,PMFBP1,Q8TBY8
84071,ARMC2,Q8NEN0
11144,DMC1,Q14565
10665,TSBP1,Q5SRN2
7516,XRCC2,O43543
9077,DIRAS3,O95661
79846,CFAP69,A5D8W1
83894,TTC29,Q8NA56
139189,DGKK,Q5KSL6
5030,P2RY4,P51582
93978,CLEC6A,Q6EIG7
23424,TDRD7,Q8NHU6
118491,CFAP70,Q5T0N1
8632,DNAH17,Q9UFH2
140801,RPL10L,Q96L21
23498,HAAO,P46952
79190,IRX6,P78412
4540,MT-ND5,P03915
2967,GTF2H3,Q13889
100130958,SYCE1L,A8MT33
51127,TRIM17,Q9Y577
23414,ZFPM2,Q8WW38
3239,HOXD13,P35453
2737,GLI3,P10071
57576,KIF17,Q9P2E2
51752,ERAP1,Q9NZ08
3008,H1-4,P10412
2175,FANCA,O15360
146754,DNAH2,Q9P225
9075,CLDN2,P57739
89876,MAATS1,Q7Z4T9
23639,LRRC6,Q86X45
9651,PLCH2,O75038
84733,CBX2,Q14781
389874,ZCCHC13,Q8WW36
84074,QRICH2,Q9H0J4
84515,MCM8,Q9UJA3
23543,RBFOX2,O43251
8481,OFD1,O75665
442444,FAM47C,Q5HY64
26093,CCDC9,Q9Y3X0
3491,CCN1,O00622
1490,CCN2,P29279
4616,GADD45B,O75293
201134,CEP112,Q8N8E3
22873,DZIP1,Q86YF9
130951,M1AP,Q8TC57
55329,MNS1,Q8NEH6
83861,RSPH3,Q86UC2
199223,TTC21A,Q8NDW8
80067,DCAF17,Q5H9S7
51554,ACKR4,Q9NPB9
23471,TRAM1,Q15629
92292,GLYATL1,Q969I3
4678,NASP,P49321
3192,HNRNPU,Q00839
3646,EIF3E,P60228
5828,PEX2,P28328
987,LRBA,P50851
83989,FAM172A,Q8WUF8
10949,HNRNPA0,Q13151
123811,FOPNL,Q96NB1
23760,PITPNB,P48739
57060,PCBP4,P57723
5921,RASA1,P20936
9403,SELENOF,O60613
5166,PDK4,Q16654
84871,AGBL4,Q5VU57
221914,GPC2,Q8N158
2521,FUS,P35637
116255,MOGAT1,Q96PD6
163782,KANK4,Q5T7N3
80097,MZT2B,Q6NZ67
4919,ROR1,Q01973
55900,ZNF302,Q9NR11
2010,EMD,P50402
80031,SEMA6D,Q8NFY4
