8287,USP9Y,ubiquitin specific peptidase 9, Y-linked,Yq11.221,Validated
117155,CATSPER2,cation channel sperm associated 2,15q15.3,Validated
1617,DAZ1,deleted in azoospermia 1,Yq11.223,Validated
161497,STRC,stereocilin,15q15.3,Validated
57135,DAZ4,deleted in azoospermia 4,Yq11.23,Validated
2488,FSHB,follicle stimulating hormone beta subunit,11p14.1,Validated
3972,LHB,luteinizing hormone beta polypeptide,19q13.33,Validated
3973,LHCGR,luteinizing hormone/choriogonadotropin receptor,2p16.3,Validated
2516,NR5A1,nuclear receptor subfamily 5 group A member 1,9q33.3,Validated
3640,INSL3,insulin like 3,19p13.11,Validated
6795,AURKC,aurora kinase C,19q13.43,Validated
122042,RXFP2,relaxin family peptide receptor 2,13q13.1,Validated
8653,DDX3Y,DEAD-box helicase 3 Y-linked,Yq11.221,Validated
57055,DAZ2,deleted in azoospermia 2,Yq11.223,Validated
7157,TP53,tumor protein p53,17p13.1,Validated
7124,TNF,tumor necrosis factor,6p21.33,Validated
7043,TGFB3,transforming growth factor beta 3,14q24.3,Validated
7133,TNFRSF1B,TNF receptor superfamily member 1B,1p36.22,Validated
8743,TNFSF10,TNF superfamily member 10,3q26.31,Validated
837,CASP4,caspase 4,11q22.3,Validated
839,CASP6,caspase 6,4q25,Validated
51561,IL23A,interleukin 23 subunit alpha,12q13.3,Validated
3569,IL6,interleukin 6,7p15.3,Validated
3576,CXCL8,C-X-C motif chemokine ligand 8,4q13.3,Validated
3586,IL10,interleukin 10,1q32.1,Validated
3458,IFNG,interferon gamma,12q15,Validated
7132,TNFRSF1A,TNF receptor superfamily member 1A,12p13.31,Validated
3553,IL1B,interleukin 1 beta,2q14.1,Validated
348,APOE,apolipoprotein E,19q13.32,Validated
1634,DCN,decorin,12q21.33,Validated
1950,EGF,epidermal growth factor,4q25,Validated
1956,EGFR,epidermal growth factor receptor,7p11.2,Validated
581,BAX,BCL2 associated X, apoptosis regulator,19q13.33,Validated
